timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,total_packets,total_bytes,avg_packet_size,min_packet_size,max_packet_size,packets_per_second,bytes_per_second,syn_count,ack_count,fin_count,rst_count,psh_count,unique_src_ports,unique_dst_ports,inter_arrival_mean,inter_arrival_std,inter_arrival_cv,inter_arrival_min,inter_arrival_max,burst_count,burst_duration_avg,fwd_packet_count,bwd_packet_count,fwd_bwd_packet_ratio,fwd_bwd_bytes_ratio,fwd_avg_packet_size,bwd_avg_packet_size,reply_rate,syn_ack_ratio,completed_sessions,incomplete_ratio,avg_session_duration,payload_size_entropy,src_port_entropy,icmp_type_entropy,pkt_size_std,pkt_size_variance,small_pkt_ratio,large_pkt_ratio,top_dst_port,top_dst_port_ratio,dst_port_std,well_known_port_ratio,ephemeral_port_ratio,sequential_port_score,is_broadcast_dst,flows_per_window,device_total_flows,device_avg_pkt_rate,device_pkt_rate_deviation,device_avg_byte_rate,device_byte_rate_deviation,device_unique_dst_ips,device_unique_dst_ports,device_new_dst_ratio,device_protocol_dist_tcp,device_protocol_dist_udp,device_protocol_dist_icmp,device_avg_payload_size,device_payload_size_deviation,is_registered_iot,is_gateway,device_age_seconds,is_baseline_mature,network_active_flows,network_total_pps,network_total_bps,network_unique_src_ips,network_unique_dst_ips,network_avg_flow_duration,network_entropy_src_ip,network_entropy_dst_port,active_snort_alerts,distinct_alert_types,broadcast_ratio,multicast_ratio,arp_broadcast_ratio,arp_reply_rate,arp_request_rate,arp_reply_request_ratio,arp_gratuitous_count,arp_unsolicited_count,mac_ip_binding_changes,ip_mac_binding_changes,label,attack_type,snort_sid
2026-06-20T21:29:33.038205,10.0.0.3,10.0.0.6,0,0,ICMP,0.1818,3,294,98.0,98,98,16.5038,1617.3769,0,0,0,0,0,0,0,0.090888,0.123293,1.3565,0.003706,0.178069,1,3.7065,3,2,1.0,1.4924,98.0,98.0,0.6667,0.0,0,0.0,0.0,0.0,0.0,0.9183,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,5,177.06,-1.0968,7676.5156,-1.1331,3,1,1.0,0.0,0.0,0.4,26.3218,1.0954,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.042065,10.0.0.6,10.0.0.3,0,0,ICMP,0.1777,2,196,98.0,98,98,11.2538,1102.8757,0,0,0,0,0,0,0,0.177717,0.0,0.0,0.177717,0.177717,0,0.0,2,3,0.5,0.6644,98.0,98.0,1.5,0.0,0,0.0,0.0,0.0,0.0,0.9641,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,1,101.0432,0.0,4243.8152,0.0,1,1,1.0,0.0,0.0,0.0,4.2,0.0,1,0,1.64,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.045731,10.0.0.3,10.0.0.1,0,0,ARP,0.003,4,168,42.0,42,42,1330.5747,55884.1361,0,0,0,0,0,0,0,0.001002,0.000793,0.791,0.000159,0.001732,1,0.1588,4,4,0.8,0.9941,42.0,42.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,6,161.0043,2.5384,7070.6017,2.6112,3,1,1.0,0.0,0.0,0.5,33.4896,-0.9129,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0.0,6652.8733,0.0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.051781,10.0.0.1,10.0.0.3,0,0,ARP,0.0048,4,168,42.0,42,42,840.584,35304.5279,0,0,0,0,0,0,0,0.001586,0.000727,0.4581,0.000942,0.002374,0,0.0,4,4,0.8,0.9941,42.0,42.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,9,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.63,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,3362.336,840.584,3.2,0,0,0,0,0,normal,none
2026-06-20T21:29:33.056673,10.0.0.3,10.0.0.1,0,0,ICMP,0.2193,6,588,98.0,98,98,27.3581,2681.0891,0,0,0,0,0,0,0,0.043863,0.096196,2.1931,0.000115,0.215938,2,1.6879,6,4,1.2,1.4962,98.0,98.0,0.6667,0.0,0,0.0,0.0,0.0,0.0,0.9183,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,7,277.9614,-0.9423,11951.9552,-0.9232,4,1,1.0,0.0,0.0,0.4286,34.3407,1.069,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.062550,10.0.0.1,10.0.0.3,0,0,ICMP,0.2134,4,392,98.0,98,98,18.7485,1837.356,0,0,0,0,0,0,0,0.071117,0.121693,1.7112,0.000218,0.211634,2,0.8579,4,6,0.5714,0.6655,98.0,98.0,1.5,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,9,1,84.0584,0.0,3530.4528,0.0,1,1,1.0,0.0,0.0,0.0,4.2,0.0,0,0,1.63,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.066641,10.0.0.3,10.0.0.2,0,0,ARP,0.0032,4,168,42.0,42,42,1264.6778,53116.4686,0,0,0,0,0,0,0,0.001054,0.000847,0.8033,0.000178,0.001868,1,0.1779,4,4,0.8,0.9941,42.0,42.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,10,8,252.901,1.6566,11024.8685,1.6763,4,1,1.0,0.0,0.0,0.5,40.7066,-0.9354,0,0,1.69,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0.0,6323.3891,0.0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.072230,10.0.0.2,10.0.0.3,0,0,ARP,0.0048,4,168,42.0,42,42,838.9447,35235.6772,0,0,0,0,0,0,0,0.001589,0.001263,0.795,0.000131,0.002341,1,0.1307,4,4,0.8,0.9941,42.0,42.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,8,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.61,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,3355.7788,0.0,16.0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.077124,10.0.0.3,10.0.0.2,0,0,ICMP,0.2371,6,588,98.0,98,98,25.3047,2479.8652,0,0,0,0,0,0,0,0.047422,0.103935,2.1917,0.000107,0.233341,2,1.8845,6,4,1.2,1.4962,98.0,98.0,0.6667,0.0,0,0.0,0.0,0.0,0.0,0.9183,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,10,9,354.0787,-0.9447,15234.0285,-0.9353,5,1,1.0,0.0,0.0,0.4444,40.8359,1.0541,0,0,1.7,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
2026-06-20T21:29:33.084313,10.0.0.2,10.0.0.3,0,0,ICMP,0.2298,4,392,98.0,98,98,17.404,1705.5941,0,0,0,0,0,0,0,0.076611,0.132384,1.728,0.000125,0.229475,2,0.1787,4,6,0.5714,0.6655,98.0,98.0,1.5,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,8,1,83.8945,0.0,3523.5677,0.0,1,1,1.0,0.0,0.0,0.0,4.2,0.0,0,0,1.61,0,57,42.8,3029.6,6,6,0.0632,2.5792,0.0,0,0,0.2804,0.0,0.5769,0,0,0,0,0,0,0,0,normal,none
